ID	FUNCTION	INPUT	OUTPUT
83	Trigonometry	 sin(A+B)	 sin(A).cos(B)+cos(A).sin(B)
84	Trigonometry	 sin(A–B)	 sinA.cosB–cosA.sinB
85	Trigonometry	 cos(A+B)	 cosA.cosB–sinA.sinB
86	Trigonometry	 cos(A–B)	 cosA.cosB+sinA.sinB
87	Trigonometry	 tan(A+B)	 tanA + tanB/(1 - tanA.tanB)
88	Trigonometry	 tan(A-B)	 tanA - tanB/(1 + tanA.tanB)
89	Trigonometry	 sin(x).sin(y)	 [cos(x - y) - cos(x + y)]/2
90	Trigonometry	 sin(x).cos(y)	 [sin(x+y) - sin(x-y)]/2
91	Trigonometry	 cos(x).cos(y)	 [cos(x + y) – cos(x – y)]/2
92	Trigonometry	 [cos(x - y) - cos(x + y)]/2	 sin(x).sin(y)
93	Trigonometry	 [sin(x+y) - sin(x-y)]/2	 sin(x).cos(y)
94	Trigonometry	 [cos(x + y) – cos(x – y)]/2	 cos(x).cos(y)
95	Trigonometry	 sin A. sin B = [cos (A – B) – cos (A + B)]/2	
96	Trigonometry	 sin A. cos B = [sin (A + B) – sin (A – B)]/2	
97	Trigonometry	 cos A. cos B = [cos (A + B) – cos (A – B)]/2	
98	Trigonometry	 (1 – sin A)/(1 + sin A)	 (sec A – tan A)^2
99	Trigonometry	 (1 – sin(x))/(1 + sin(x))	 (sec(x) – tan(x))^2
100	Trigonometry	 (sec(x) – tan(x))^2	 (1 – sin(x))/(1 + sin(x))
101	Trigonometry	 (sec A – tan A)^2	 (1 – sin A)/(1 + sin A)
102	Trigonometry	 1/(cosec A – cot A) – 1/sin A	 1/sin A – 1/(cosec A + cot A)
103	Trigonometry	 1/sin A – 1/(cosec A + cot A)	 1/(cosec A – cot A) – 1/sin A
104	Trigonometry	 1/(cosec(x) – cot(x)) – 1/sin(x)	 1/sin(x) – 1/(cosec(x) + cot(x))
105	Trigonometry	 1/sin(x) – 1/(cosec(x) + cot(x))	 1/(cosec(x) – cot(x)) – 1/sin(x)
106	Trigonometry	 sec A (1 – sin A)(sec A + tan A)	1
107	Trigonometry	 sec(x)(1 – sin(x))(sec(x) + tan(x))	1
108	Trigonometry	 (sin A + cosec A)^2 + (cos A + sec A)^2	 7 + tan^2A + cot^2A
109	Trigonometry	 (sin(x) + cosec(y))^2 + (cos(x) + sec(x))^2 = 7 + tan^2A + cot^2A	
